name,group,short_name
Russia,A,rus
Saudi Arabia,A,sau
Egypt,A,egy
Uruguay,A,uru
Portugal,B,por
Spain,B,spa
Morocco,B,mor
Iran,B,ira
France,C,fra
Australia,C,aus
Peru,C,per
Denmark,C,den
Argentina,D,arg
Iceland,D,ice
Croatia,D,cro
Nigeria,D,nig
Brazil,E,bra
Switzerland,E,swi
Costa Rica,E,cos
Serbia,E,ser
Germany,F,ger
Mexico,F,mex
Sweden,F,swe
South Korea,F,sou
Belgium,G,bel
Panama,G,pan
Tunisia,G,tun
England,G,eng
Poland,H,pol
Senegal,H,sen
Colombia,H,col
Japan,H,jap
